GNMUID	Genome ID	Completeness	Contamination	Genome size (bp)	estimated size
GNM900172265	Roseivivax jejudonensis CECT 8625	100	0.97	4312868	4271435 
GNM019802205	Roseovarius atlanticus  strain=DP5N14-7	99.45	1.26	4302565	4272232 
GNM013034305	HKCCA4785	99.31	0.16	4251289	4273941 
GNM900115165	Roseovarius lutimaris DSM 28463	99.54	0.61	4283675	4277259 
GNM019801075	Vannielia litorea  strain=DP2N28-4	98.59	0	4220445	4280804 
GNM019801175	Vannielia litorea  strain=DP2N28-3	98.59	0	4220446	4280805 
GNM003050785	Celeribacter persicus DSM 100434	99.39	1.02	4299547	4281991 
GNM002786285	Pseudooceanicola antarcticus Ar-45	100	0.31	4296460	4283182 
GNM001635055	Sulfitobacter sp. HI0076	99.08	2.92	4370296	4284604 
GNM900537125	Rhodobacteraceae bacterium Alg238-R152	99.15	0.38	4265012	4285152 
GNM019801055	Vannielia litorea  strain=DP3N21-11	98.87	0.15	4243513	4285511 
GNM900172335	Roseovarius albus CECT 7450	100	0	4287842	4287842 
GNM017872515	HKCCE3926	99.15	0	4251438	4287885 
GNM013214665	Rhodobacteraceae bacterium DT_100	97.7	1.78	4265656	4287953 
GNM013034595	HKCCA4707	99.57	0.48	4290993	4288849 
GNM913054545	uncultured Phaeobacter sp. SRR3646256_bin.12_MetaBAT_v2.12.1_MAG	98.7	3.23	4371792	4289014 
GNM009363555	Sulfitobacter sp. THAF37	99.36	0	4264270	4291737 
GNM009496005	Epibacterium sp. SM1979	99.82	2.27	4382248	4292534 
GNM002695985	Roseovarius sp. EAC56	91.32	0.44	3938855	4292562 
GNM002860325	Amylibacter cionae m18	99.85	0	4286347	4292786 
GNM013377535	Donghicola mangrovi B5-SW-15	99.7	0.35	4295174	4293027 
GNM013032905	HKCCD6459	99.15	0	4256877	4293371 
GNM013031525	HKCCD7291	99.15	0	4257170	4293666 
GNM005871115	Maritimibacter sp. LZ-17	99.39	0.91	4307064	4294181 
GNM002891965	Phaeobacter inhibens P78	99.39	0	4268701	4294900 
GNM013031985	HKCCD9162	99.47	0	4275171	4297950 
GNM013032425	HKCCD6461	99.47	0.32	4290119	4299147 
GNM013033885	HKCCA6783	99.89	0.43	4313425	4299666 
GNM011806405	Pseudooceanicola sp. HF7	98.49	0.76	4267668	4299917 
GNM001314685	Rhodobacteraceae bacterium HLUCCA09	93.98	2.09	4131108	4300102 
GNM023487995	Limibaculum sp. FT325  strain=FT325	99.9	0.53	4318768	4300277 
GNM005434965	Marimonas lutisalis GH1-19	99.69	0.76	4319764	4300412 
GNM013034145	HKCCA5460	99.47	0	4278675	4301473 
GNM010119435	Rhodovulum sulfidophilum SE1	99.29	0.91	4310535	4301931 
GNM903914075	Ruegeria sp. THAF57	99.25	0.16	4280014	4305416 
GNM022788715	Sulfitobacter sp. DSM 110093  strain=DSM 110093	99.68	1.12	4340034	4305589 
GNM021228235	Pseudophaeobacter sp. MA21411-1  strain=MA21411-1	99.47	0.18	4294042	4309124 
GNM000526275	Oceanicola sp. HL-35	99.69	0.31	4310573	4310573 
GNM013033245	HKCCA0214	99.79	0.32	4315500	4310758 
GNM913054285	uncultured Roseobacter sp. SRR3646256_bin.8_MetaBAT_v2.12.1_MAG	99.65	0.18	4304506	4311836 
GNM009363495	Roseivivax sp. THAF40	98.37	1.28	4297624	4312719 
GNM002115805	Marivita geojedonensis DPG-138	100	0	4313167	4313167 
GNM013034185	HKCCA5454	99.25	0.32	4295806	4314358 
GNM019195455	Rhodobacteraceae bacterium N5(2021)  strain=N5(2021)	99.39	0.82	4324088	4315026 
GNM003352045	Sulfitobacter sp. JL08	100	0.2	4323690	4315060 
GNM001633165	Rhodovulum sulfidophilum DSM 1374	99.69	1.07	4347929	4315134 
GNM013035715	HKCCA5588	99.25	0	4283997	4316370 
GNM013031905	HKCCD4811	99.47	0	4294495	4317377 
GNM013031845	HKCCD4871	99.47	0	4294826	4317710 
GNM020524465	Ruegeria profundi  strain=DP7Y7-4	99.15	0	4281589	4318295 
GNM001969365	Tateyamaria omphalii DOK1-4	99.39	0.51	4315457	4319777 
GNM001969345	Phaeobacter inhibens DOK1-1	99.01	0.31	4291376	4320757 
GNM003258405	Rhodobacteraceae bacterium DSL-40	99.69	1.42	4370303	4322325 
GNM013033605	HKCCA6172	99.25	0	4290027	4322445 
GNM021405365	Ruegeria pomeroyi  strain=HKCCSP326	99.68	0	4308635	4322467 
GNM002162795	Rhodobacterales bacterium 56_14_T64	98.78	1.53	4335868	4322468 
GNM020171505	Ruegeria profundi  strain=DP1N0-1	99.04	0	4281599	4323101 
GNM001874205	Roseobacter sp. MedPE-SWde	99.69	0	4309874	4323276 
GNM013031425	HKCCD8795	99.57	0.43	4323518	4323518 
GNM019801285	Roseovarius atlanticus  strain=DP1N28-6	99.45	1.26	4354432	4323733 
GNM019801375	Roseovarius atlanticus  strain=DP1N28-2	99.45	1.26	4354432	4323733 
GNM021409185	Rhodovulum sulfidophilum  strain=AB18	99.19	1.36	4349103	4325314 
GNM003002975	Marivita geojedonensis DSM 29432	100	0	4326589	4326589 
GNM001634775	Sulfitobacter sp. HI0027	100	2.64	4441089	4326860 
GNM013032265	HKCCD8206	99.79	0	4318366	4327454 
GNM022448905	Shimia sp. ALOHA_ZT_64	98.51	0.54	4286367	4327478 
GNM002892205	Phaeobacter inhibens P30/M4-3.1A	99.39	0.46	4320988	4327479 
GNM013110585	HKCCD6119	99.15	0	4292017	4328812 
GNM013033895	HKCCA5983	99.25	0.11	4301388	4329094 
GNM013031745	HKCCD6421	99.47	0	4307812	4330765 
GNM018219815	Thalassobius aquimarinus KMM 8518	99.36	0.69	4333180	4331014 
GNM016762795	Rhodobacteraceae bacterium PB-A2_LS01-2011-a	97.52	0.4	4241232	4331324 
GNM004005435	Rhodobacteraceae bacterium CCMM004	100	1.22	4384339	4331495 
GNM001941695	Rhodovulum sulfidophilum AB14	99.39	1.07	4351599	4331673 
GNM013110575	HKCCD7559	99.15	0	4295255	4332078 
GNM016815035	Sulfitobacter geojensis MP20-8	99.04	0.32	4304476	4332202 
GNM016815175	Sulfitobacter geojensis MP20-19	99.04	0.32	4305344	4333076 
GNM000299875	Celeribacter baekdonensis B30	99.69	0.31	4333597	4333597 
GNM002983865	Roseobacter denitrificans FDAARGOS_309	99.39	0	4308791	4335236 
GNM013033125	HKCCA4008	99.15	0.32	4313640	4336624 
GNM013034275	HKCCA4749	98.99	0.16	4299893	4336755 
GNM016815225	Sulfitobacter geojensis MP20-116	99.04	0.32	4310779	4338546 
GNM016815055	Sulfitobacter geojensis MP20-88	99.04	0.32	4310992	4338760 
GNM016815115	Sulfitobacter geojensis MP20-33	99.04	0.32	4310993	4338761 
GNM020524585	Celeribacter naphthalenivorans  strain=EaN35-2	99.24	1.21	4358615	4339089 
GNM016815195	Sulfitobacter geojensis MP20-117	99.04	0.32	4311392	4339163 
GNM016815155	Sulfitobacter geojensis MP20-1	99.04	0.32	4311427	4339198 
GNM016815085	Sulfitobacter geojensis MP20-62	99.04	0.32	4312616	4340395 
GNM013032605	HKCCD7731	99.57	0.32	4335814	4340589 
GNM016815215	Sulfitobacter geojensis MP20-100	99.04	0.32	4312883	4340663 
GNM013034525	HKCCA5929	99.25	0.68	4337632	4340670 
GNM001941715	Rhodovulum sulfidophilum AB26	99.39	1.53	4380746	4340811 
GNM000743705	Ruegeria halocynthiae MOLA R1/13b	99.39	0	4314497	4340977 
GNM016814955	Sulfitobacter geojensis TR60-115	99.04	0.32	4313597	4341382 
GNM016814865	Sulfitobacter geojensis TR60-71	99.04	0.32	4313875	4341662 
GNM016814775	Sulfitobacter geojensis TR60-79	99.04	0.32	4314797	4342590 
GNM016814605	Sulfitobacter geojensis TR60-96	99.04	0.32	4314925	4342718 
GNM016814755	Sulfitobacter geojensis TR60-76	99.04	0.32	4315149	4342944 
GNM016814975	Sulfitobacter geojensis TR60-116	99.04	0.32	4315149	4342944 
GNM016815075	Sulfitobacter geojensis MP20-63	99.04	0.32	4315484	4343281 
GNM016814815	Sulfitobacter geojensis TR60-75	99.04	0.32	4315745	4343544 
GNM016814635	Sulfitobacter geojensis TR60-95	99.04	0.32	4315772	4343571 
GNM016815005	Sulfitobacter geojensis TR60-107	99.04	0.32	4316057	4343858 
GNM016814765	Sulfitobacter geojensis TR60-77	99.04	0.32	4316111	4343912 
GNM900113215	Roseobacter denitrificans DSM 7001	99.39	0	4317609	4344108 
GNM016814695	Sulfitobacter geojensis TR60-85	99.04	0.32	4316349	4344152 
GNM016814935	Sulfitobacter geojensis TR60-119	99.04	0.32	4316843	4344649 
GNM016814895	Sulfitobacter geojensis TR60-72	99.04	0.32	4316986	4344793 
GNM016814855	Sulfitobacter geojensis TR60-73	99.04	0.32	4317602	4345413 
GNM016814715	Sulfitobacter geojensis TR60-84	99.04	0.32	4317604	4345415 
GNM016814995	Sulfitobacter geojensis TR60-106	99.04	0.32	4317608	4345419 
GNM016814835	Sulfitobacter geojensis TR60-74	99.04	0.32	4317708	4345519 
GNM016814735	Sulfitobacter geojensis TR60-80	99.04	0.32	4317760	4345572 
GNM013108275	HKCCD8190	99.64	1.58	4398631	4345615 
GNM016814915	Sulfitobacter geojensis TR60-117	99.04	0.32	4317822	4345634 
GNM016814645	Sulfitobacter geojensis TR60-89	99.04	0.32	4317849	4345661 
GNM013108595	HKCCD6301	99.64	1.58	4399434	4346408 
GNM016814675	Sulfitobacter geojensis TR60-93	99.04	0.32	4318661	4346478 
GNM013106975	HKCCD6135	99.64	2.43	4437867	4347866 
GNM013032965	HKCCA0712	99.25	0	4315270	4347879 
GNM017643305	Marinibacterium sp. HXMU1420-2	97.87	0.64	4283602	4348393 
GNM003314725	Rhodovulum sp. BSW8	99.69	1.83	4414897	4348795 
GNM013032775	HKCCD6593	99.57	0	4330409	4349110 
GNM013035955	HKCCA4608	99.25	0	4317148	4349771 
GNM013034395	HKCCA4716	99.25	0.32	4331136	4349840 
GNM014903745	Mangrovicoccus sp. HB182678	99.7	1.36	4397334	4351211 
GNM013035965	HKCCA4609	99.25	0	4319067	4351705 
GNM013033555	HKCCA6601	99.15	0.5	4336830	4352062 
GNM013033545	HKCCA6604	99.15	0.5	4337189	4352422 
GNM013035365	HKCCC1226	99.25	0	4320521	4353170 
GNM003148765	Silicimonas algicola DSM 103371	99.59	0.05	4337735	4353407 
GNM001458215	Shimia thalassica CECT 7735	100	0.1	4358316	4353962 
GNM021555075	Rhodobacteraceae bacterium LMO-JJ12  strain=LMO-JJ12	99.3	0.5	4346495	4355205 
GNM013032085	HKCCD9105	99.25	0	4322610	4355275 
GNM013107315	HKCCD8291	99.64	1.58	4408804	4355665 
GNM013107845	HKCCD9072	99.64	1.58	4410443	4357284 
GNM003789055	Histidinibacterium lentulum B17	99.39	0.51	4353039	4357396 
GNM013035685	HKCCA5680	99.57	0	4338842	4357580 
GNM013107185	HKCCD8434	99.64	1.58	4410918	4357753 
GNM000014045	Roseobacter denitrificans OCh 114	99.39	0	4331234	4357817 
GNM013107345	HKCCD8193	99.64	1.58	4411037	4357871 
GNM013108995	HKCCD8469	99.64	1.58	4411047	4357881 
GNM013109425	HKCCD8733	99.64	1.58	4411179	4358011 
GNM015689585	HKCCD4356	99.64	1.58	4411181	4358013 
GNM013107445	HKCCD8134	99.64	1.58	4411238	4358070 
GNM013107175	HKCCD8484	99.64	1.58	4411304	4358135 
GNM013107895	HKCCD9065	99.64	1.58	4411330	4358160 
GNM013179355	HKCCD6576	99.64	1.58	4411357	4358187 
GNM013107215	HKCCD7543	99.64	1.58	4411386	4358216 
GNM013109825	HKCCD7542	99.64	1.58	4411441	4358270 
GNM013179075	HKCCD7106	99.64	1.58	4411562	4358390 
GNM013108935	HKCCD7538	99.64	1.58	4411571	4358399 
GNM013107265	HKCCD8654	99.64	1.58	4411607	4358434 
GNM013106855	HKCCD5929	99.64	1.58	4411608	4358435 
GNM013108635	HKCCD9051	99.64	1.58	4411634	4358461 
GNM013110155	HKCCD7327	99.64	1.58	4411810	4358635 
GNM013107555	HKCCD9159	99.64	1.58	4411855	4358679 
GNM013109805	HKCCD7413-1	99.64	1.58	4411955	4358778 
GNM013109315	HKCCD7906	99.64	1.58	4412021	4358843 
GNM013106795	HKCCD9073	99.64	1.58	4412052	4358874 
GNM013109375	HKCCD8628	99.64	1.58	4412176	4358996 
GNM013106745	HKCCD6547	99.64	1.58	4412226	4359046 
GNM013107235	HKCCD8192	99.64	1.58	4412393	4359211 
GNM013107595	HKCCD5919	99.64	1.58	4412406	4359223 
GNM013109055	HKCCD9030	99.64	1.58	4412417	4359234 
GNM013107905	HKCCD9056	99.64	1.58	4412427	4359244 
GNM013107095	HKCCD9020	99.64	1.58	4412440	4359257 
GNM013110035	HKCCD9027	99.64	1.58	4412469	4359286 
GNM013109475	HKCCD8411	99.64	1.58	4412534	4359350 
GNM013109715	HKCCD8264	99.64	1.58	4412550	4359366 
GNM013109335	HKCCD8703	99.64	1.58	4412629	4359444 
GNM013107515	HKCCD8272	99.64	1.58	4412643	4359458 
GNM013108065	HKCCD9041	99.64	1.58	4412651	4359466 
GNM013109525	HKCCD9028	99.64	1.58	4412653	4359467 
GNM013108735	HKCCD5934	99.64	1.58	4412686	4359500 
GNM013110245	HKCCD9054-2	99.64	1.58	4412693	4359507 
GNM013110125	HKCCD7372	99.64	1.58	4412701	4359515 
GNM013108845	HKCCD7382	99.64	1.58	4412759	4359572 
GNM013106815	HKCCD9025	99.64	1.58	4412820	4359632 
GNM013110095	HKCCD7389	99.64	1.58	4412856	4359668 
GNM013110395	HKCCD9005	99.64	1.58	4412861	4359673 
GNM013107605	HKCCD9032	99.64	1.58	4412874	4359686 
GNM013109145	HKCCD5922	99.64	1.58	4412892	4359704 
GNM013107245	HKCCD9117-2	99.64	1.58	4412902	4359713 
GNM013107685	HKCCD6503	99.64	1.58	4412971	4359782 
GNM013109635	HKCCD6543	99.64	1.58	4412994	4359804 
GNM013107835	HKCCD8515	99.64	1.58	4413018	4359828 
GNM013109485	HKCCD8657	99.64	1.58	4413109	4359918 
GNM013179285	HKCCD6576-2	99.64	1.58	4413114	4359923 
GNM013108005	HKCCD9066	99.64	1.58	4413138	4359947 
GNM013106735	HKCCD6497	99.64	1.58	4413167	4359975 
GNM013108325	HKCCD8419	99.64	1.58	4413217	4360025 
GNM013107255	HKCCD9144	99.64	1.58	4413291	4360098 
GNM013107045	HKCCD8431	99.64	1.58	4413297	4360104 
GNM013109735	HKCCD9026	99.64	1.58	4413302	4360109 
GNM013107495	HKCCD9063	99.64	1.58	4413385	4360191 
GNM013179385	HKCCD7022	99.64	1.58	4413397	4360203 
GNM013107015	HKCCD8861	99.64	1.58	4413400	4360205 
GNM013179425	HKCCD6565	99.64	1.58	4413463	4360268 
GNM013107425	HKCCD8710	99.64	1.58	4413495	4360299 
GNM013107375	HKCCD8473	99.64	1.58	4413505	4360309 
GNM013107135	HKCCD8474	99.64	1.58	4413548	4360352 
GNM013109865	HKCCD7397	99.64	1.58	4413567	4360370 
GNM013110105	HKCCD7387	99.64	1.58	4413593	4360396 
GNM013107735	HKCCD5941-2	99.64	1.58	4413600	4360403 
GNM013110205	HKCCD5941	99.64	1.58	4413600	4360403 
GNM013110405	HKCCD8504-2	99.64	1.58	4413625	4360428 
GNM013109775	HKCCD8417	99.64	1.58	4413641	4360444 
GNM013107125	HKCCD8381	99.64	1.58	4413657	4360459 
GNM013110225	HKCCD5916-2	99.64	1.58	4413672	4360474 
GNM013110375	HKCCD9055	99.64	1.58	4413694	4360496 
GNM013107485	HKCCD8626	99.64	1.58	4413718	4360520 
GNM013107575	HKCCD8769	99.64	1.58	4413741	4360542 
GNM013110495	HKCCD8195	99.64	1.58	4413782	4360583 
GNM013108265	HKCCD6795	99.64	1.58	4413885	4360685 
GNM013179205	HKCCD7959	99.64	1.58	4413916	4360715 
GNM013109795	HKCCD7634	99.64	1.58	4413923	4360722 
GNM000156135	Rhodobacterales sp. Y4I	99.62	0	4344244	4360815 
GNM013108055	HKCCD8413	99.64	1.58	4414023	4360821 
GNM013106915	HKCCD9022	99.64	1.58	4414026	4360824 
GNM013109915	HKCCD9037	99.64	1.58	4414050	4360848 
GNM013110185	HKCCD8430-2	99.64	1.58	4414085	4360882 
GNM013106895	HKCCD8768	99.64	1.58	4414111	4360908 
GNM013109345	HKCCD8415	99.64	1.58	4414114	4360911 
GNM013107715	HKCCD5938	99.64	1.58	4414126	4360923 
GNM013107925	HKCCD8481	99.64	1.58	4414126	4360923 
GNM013110175	HKCCD7386	99.64	1.58	4414150	4360946 
GNM013109125	HKCCD6510	99.64	1.58	4414162	4360958 
GNM013031545	HKCCD7218	99.25	0	4328268	4360975 
GNM013108135	HKCCD9180	99.64	1.58	4414192	4360988 
GNM013107955	HKCCD7635	99.64	1.58	4414238	4361033 
GNM013110275	HKCCD9021	99.64	1.58	4414302	4361097 
GNM013108345	HKCCD8267	99.64	1.58	4414303	4361098 
GNM013109435	HKCCD8721	99.64	1.58	4414364	4361158 
GNM016757175	Rhodovulum visakhapatnamense AB19	99.19	1.73	4401286	4361163 
GNM013110485	HKCCD7580	99.64	1.58	4414553	4361345 
GNM022824525	Silicimonas sp. jk18x7bins.10	91.18	2.1	4068271	4361354 
GNM013109195	HKCCD8304	99.64	1.58	4414578	4361369 
GNM013107475	HKCCD8926	99.64	1.58	4414581	4361372 
GNM013109575	HKCCD8485	99.64	1.58	4414635	4361426 
GNM013108215	HKCCD9019	99.64	1.58	4414642	4361433 
GNM013107615	HKCCD8979	99.64	1.58	4414669	4361459 
GNM013110005	HKCCD9057	99.64	1.58	4414684	4361474 
GNM013109065	HKCCD5927	99.64	1.58	4414698	4361488 
GNM013107025	HKCCD9054	99.64	1.58	4414711	4361501 
GNM013179095	HKCCD7086	99.64	1.58	4414721	4361511 
GNM013108535	HKCCD7415	99.64	1.58	4414755	4361544 
GNM013109965	HKCCD8483	99.64	1.58	4414806	4361595 
GNM013109215	HKCCD8269	99.64	1.58	4414808	4361597 
GNM013108495	HKCCD8810	99.64	1.58	4414826	4361614 
GNM013109675	HKCCD8420	99.64	1.58	4414835	4361623 
GNM013179155	HKCCD7124	99.64	1.58	4414880	4361668 
GNM013179085	HKCCD7120-2	99.64	1.58	4414982	4361768 
GNM013107335	HKCCD8268	99.64	1.58	4415013	4361799 
GNM013110475	HKCCD8503	99.64	1.58	4415030	4361816 
GNM013107675	HKCCD8418	99.64	1.58	4415033	4361819 
GNM013108795	HKCCD5916	99.64	1.58	4415047	4361833 
GNM013109385	HKCCD7561	99.64	1.58	4415067	4361852 
GNM013109755	HKCCD7886	99.64	1.58	4415096	4361881 
GNM013033735	HKCCA4909	99.57	0.4	4360618	4361927 
GNM013107745	HKCCD6925	99.64	1.58	4415170	4361954 
GNM013109295	HKCCD9152	99.64	1.58	4415209	4361993 
GNM013110435	HKCCD8432	99.64	1.58	4415253	4362036 
GNM013179035	HKCCD6575	99.64	1.58	4415258	4362041 
GNM013108895	HKCCD5934-2	99.64	1.58	4415290	4362073 
GNM013108015	HKCCD9042	99.64	1.58	4415306	4362089 
GNM013109685	HKCCD9039	99.64	1.58	4415330	4362112 
GNM013034725	HKCCC1266	99.57	0.32	4357320	4362118 
GNM013179255	HKCCD6490	99.64	1.58	4415360	4362142 
GNM013108505	HKCCD8435	99.64	1.58	4415429	4362210 
GNM013109235	HKCCD8472	99.64	1.58	4415449	4362230 
GNM013107935	HKCCD8877	99.64	1.58	4415518	4362298 
GNM013108375	HKCCD8487	99.64	1.58	4415545	4362325 
GNM013108805	HKCCD6544	99.64	1.58	4415578	4362357 
GNM013108625	HKCCD6132	99.64	1.58	4415600	4362379 
GNM013107805	HKCCD9024	99.64	1.58	4415604	4362383 
GNM013109025	HKCCD6541	99.64	1.58	4415702	4362480 
GNM013109645	HKCCD7371	99.64	1.58	4415702	4362480 
GNM013108905	HKCCD6507	99.64	1.58	4415705	4362483 
GNM013106865	HKCCD6505	99.64	1.58	4415730	4362507 
GNM013108165	HKCCD9010	99.64	1.58	4415732	4362509 
GNM013107115	HKCCD8832	99.64	1.58	4415739	4362516 
GNM013110515	HKCCD9050	99.64	1.58	4415765	4362542 
GNM013179055	HKCCD6571	99.64	1.58	4415776	4362553 
GNM013109615	HKCCD7378	99.64	1.58	4415811	4362587 
GNM013108925	HKCCD8773	99.64	1.58	4415822	4362598 
GNM013108195	HKCCD8831	99.64	1.58	4415877	4362653 
GNM013107635	HKCCD9036	99.64	1.58	4415914	4362689 
GNM013110415	HKCCD8882	99.64	1.58	4415949	4362724 
GNM016757145	Rhodovulum sulfidophilum AB16	98.99	2.01	4406360	4362733 
GNM013109585	HKCCD8421	99.64	1.58	4415972	4362746 
GNM013108955	HKCCD7632	99.64	1.58	4415989	4362763 
GNM013107855	HKCCD8429	99.64	1.58	4415995	4362769 
GNM013108615	HKCCD8749	99.64	1.58	4416007	4362781 
GNM013108255	HKCCD8199	99.64	1.58	4416055	4362828 
GNM013106705	HKCCD9061	99.64	1.58	4416062	4362835 
GNM013109905	HKCCD5914	99.64	1.58	4416063	4362836 
GNM013179295	HKCCD7120-1	99.64	1.58	4416108	4362881 
GNM013108825	HKCCD8214	99.64	1.58	4416127	4362900 
GNM013110315	HKCCD8430	99.64	1.58	4416133	4362906 
GNM013106955	HKCCD5932	99.64	1.58	4416141	4362913 
GNM013179275	HKCCD7120	99.64	1.58	4416149	4362921 
GNM013032665	HKCCD7041	98.94	0.64	4344612	4362936 
GNM013179335	HKCCD7100	99.64	1.58	4416178	4362950 
GNM013108405	HKCCD8088	99.64	1.58	4416194	4362966 
GNM013109175	HKCCD7390	99.64	1.58	4416249	4363020 
GNM013109115	HKCCD7373	99.64	1.58	4416250	4363021 
GNM013108445	HKCCD7577	99.64	1.58	4416251	4363022 
GNM013179415	HKCCD7780	99.64	1.58	4416313	4363083 
GNM013106965	HKCCD7357	99.64	1.58	4416335	4363105 
GNM013179375	HKCCD7924	99.64	1.58	4416418	4363187 
GNM013107995	HKCCD8809	99.64	1.58	4416469	4363238 
GNM013110045	HKCCD8700	99.64	1.58	4416512	4363280 
GNM013109515	HKCCD9043	99.64	1.58	4416516	4363284 
GNM013106825	HKCCD8198	99.64	1.58	4416556	4363323 
GNM013110545	HKCCD7328	99.64	1.58	4416559	4363326 
GNM013108225	HKCCD9199	99.64	1.58	4416570	4363337 
GNM013179175	HKCCD7103	99.64	1.58	4416601	4363368 
GNM013109015	HKCCD8507	99.64	1.58	4416640	4363406 
GNM013106695	HKCCD8914	99.64	1.58	4416647	4363413 
GNM013108645	HKCCD5930	99.64	1.58	4416677	4363443 
GNM013108715	HKCCD6540	99.64	1.58	4416690	4363456 
GNM013108745	HKCCD6502	99.64	1.58	4416763	4363528 
GNM013109415	HKCCD7422	99.64	1.58	4416777	4363542 
GNM013109895	HKCCD8822	99.64	1.58	4416861	4363625 
GNM013107795	HKCCD8812	99.64	1.58	4416943	4363706 
GNM013108455	HKCCD9052	99.64	1.58	4416958	4363721 
GNM013107035	HKCCD8414	99.64	1.58	4416965	4363728 
GNM013107775	HKCCD8765	99.64	1.58	4416973	4363735 
GNM013179195	HKCCD7121	99.64	1.58	4417046	4363808 
GNM013107415	HKCCD8629	99.64	1.58	4417081	4363842 
GNM013108525	HKCCD5862	99.64	1.58	4417082	4363843 
GNM013110295	HKCCD8659	99.64	1.58	4417163	4363923 
GNM013109265	HKCCD8752	99.64	1.58	4417192	4363952 
GNM018860315	Shimia thalassica G2R14	99.68	0.8	4384924	4363977 
GNM013108695	HKCCD8806	99.64	1.58	4417228	4363987 
GNM013108555	HKCCD5856	99.64	1.58	4417270	4364029 
GNM013108095	HKCCD8505	99.64	1.58	4417292	4364051 
GNM013108835	HKCCD8486	99.64	1.58	4417374	4364132 
GNM013179235	HKCCD6491	99.64	1.58	4417379	4364137 
GNM013108395	HKCCD6508	99.64	1.58	4417389	4364146 
GNM013108435	HKCCD7391	99.64	1.58	4417402	4364159 
GNM013106925	HKCCD6265	99.64	1.58	4417659	4364413 
GNM013109995	HKCCD8482	99.64	1.58	4417680	4364434 
GNM013108315	HKCCD8499	99.64	1.58	4417727	4364480 
GNM013110305	HKCCD7581	99.64	1.58	4417928	4364679 
GNM2517572147		98.1	0.82	4317545	4364684 
GNM017792405	Oceanicola sp. m2	98.59	0.15	4309725	4364720 
GNM013110065	HKCCD8767	99.64	1.58	4418214	4364961 
GNM013031015	HKCCD9204	99.47	0	4342083	4365219 
GNM013108765	HKCCD5928	99.64	1.58	4418946	4365685 
GNM013109085	HKCCD5935	99.64	1.58	4419941	4366668 
GNM013110325	HKCCD8495	99.64	1.58	4420494	4367214 
GNM013036025	HKCCA1383-2	99.57	0	4348571	4367351 
GNM003970735	Silicimonas algicola KC90	99.59	0.05	4351658	4367381 
GNM013034485	HKCCC2111	99.25	0.68	4364325	4367382 
GNM013179105	HKCCD6578	99.64	1.58	4421792	4368496 
GNM013179455	HKCCD7100-2	99.64	1.58	4421813	4368517 
GNM020524825	Ruegeria arenilitoris  strain=DP6N0-3	99.79	0	4361552	4370731 
GNM013109545	HKCCD8410	99.64	1.58	4424672	4371342 
GNM013031735	HKCCD6291	99.25	0	4340146	4372943 
GNM013109955	HKCCD8309	99.64	1.58	4426586	4373233 
GNM003990645	Thalassobius sp. ZQ172	99.39	0.46	4367258	4373819 
GNM013031645	HKCCD7172	99.57	0	4356150	4374962 
GNM006265095	Phaeobacter sp. B1627	99.2	0.2	4348920	4375171 
GNM013031265	HKCCD7235	99.57	0.11	4361387	4375388 
GNM013035605	HKCCA5690	99.25	0	4342845	4375662 
GNM002381365	Phaeobacter gallaeciensis P128	99.39	0	4349350	4376044 
GNM013033385	HKCCA6043	99.25	0	4343235	4376055 
GNM000013565	Jannaschia sp. CCS1	99.69	0.92	4404049	4377347 
GNM013032745	HKCCD7109	99.57	0	4361242	4380076 
GNM002080415	Roseovarius mucosus SMR3	99.39	0.61	4381426	4381426 
GNM016757035	Rhodovulum visakhapatnamense AB26	98.99	1.58	4406815	4381839 
GNM013033185	HKCCA0238	99.79	0	4372666	4381868 
GNM001205715	Pseudaestuariivita atlantica 22II-S11-z3	99.08	0	4342642	4382965 
GNM006740765	Leisingera aquaemixtae R2C4	99.92	0	4380105	4383612 
GNM003258925	Rhodobacteraceae bacterium AsT-22	99.69	0.61	4398588	4385432 
GNM001458255	Thalassobius autumnalis CECT 5118	99.39	0	4359147	4385901 
GNM021405425	Ruegeria pomeroyi  strain=HKCCM208	99.68	0	4373184	4387223 
GNM905479575	Pseudophaeobacter sp. 10_20180412_Bin_Bin_67_1	92.65	3.25	4208080	4387987 
GNM002891925	Phaeobacter piscinae P18	99.39	0.31	4374969	4388133 
GNM013034805	HKCCC1182	99.57	0.4	4387728	4389045 
GNM013032535	HKCCD5912	99.25	0.32	4370450	4389324 
GNM000812665	Halocynthiibacter arcticus PAMC 20958	99.31	0.35	4376120	4391050 
GNM002381385	Phaeobacter gallaeciensis P129	99.39	0	4364372	4391158 
GNM014899185	Pseudopuniceibacterium sp. HQ09	98.57	0.8	4365781	4393460 
GNM900113955	Celeribacter neptunius DSM 26471	99.69	0.41	4398584	4394190 
GNM913057855	uncultured Marivita sp. SRR6854294_bin.7_MetaBAT_v2.12.1_MAG	99.1	0.55	4379164	4394545 
GNM002412045	Phaeobacter piscinae P13	99.39	0.31	4382816	4396004 
GNM013107385	HKCCD8284	99.64	1.68	4455412	4397367 
GNM2681813578	Shimia sp. MIT1352	99.47	0	4374300	4397607 
GNM002891665	Phaeobacter inhibens P24/M2-4.4	99.39	0.61	4398636	4398636 
GNM013108115	HKCCD8191	99.64	1.68	4457286	4399216 
GNM004365965	Rhodovulum visakhapatnamense	99.69	0.99	4429538	4399621 
